UNITID,INSTNM,CIPCODE,CIP_Title,AWLEVEL,CTOTALT,SOC,SOC_Title
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-1253.00,Software Quality Assurance Analysts and Testers
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-2051.00,Data Scientists
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-2051.01,Business Intelligence Analysts
197850,South Piedmont Community College,11.0103,Information Technology,21,54,15-2051.02,Clinical Data Managers
197850,South Piedmont Community College,11.0899,,3,0,,
197850,South Piedmont Community College,11.0899,,21,4,,
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,3,0,35-1011.00,Chefs and Head Cooks
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,3,0,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,3,0,35-2013.00,"Cooks, Private Household"
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,3,0,35-2014.00,"Cooks, Restaurant"
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,3,0,35-2019.00,"Cooks, All Other"
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,21,4,35-1011.00,Chefs and Head Cooks
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,21,4,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,21,4,35-2013.00,"Cooks, Private Household"
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,21,4,35-2014.00,"Cooks, Restaurant"
197850,South Piedmont Community College,12.0503,Culinary Arts/Chef Training,21,4,35-2019.00,"Cooks, All Other"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,2,18,25-1081.00,"Education Teachers, Postsecondary"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,2,18,25-2011.00,"Preschool Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,2,18,25-2012.00,"Kindergarten Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,2,18,25-2021.00,"Elementary School Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,2,18,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,2,18,25-9043.00,"Teaching Assistants, Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,3,12,25-1081.00,"Education Teachers, Postsecondary"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,3,12,25-2011.00,"Preschool Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,3,12,25-2012.00,"Kindergarten Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,3,12,25-2021.00,"Elementary School Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,3,12,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,3,12,25-9043.00,"Teaching Assistants, Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,21,82,25-1081.00,"Education Teachers, Postsecondary"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,21,82,25-2011.00,"Preschool Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,21,82,25-2012.00,"Kindergarten Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,21,82,25-2021.00,"Elementary School Teachers, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,21,82,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
197850,South Piedmont Community College,13.121,Early Childhood Education and Teaching,21,82,25-9043.00,"Teaching Assistants, Special Education"
197850,South Piedmont Community College,14.0102,,3,0,,
197850,South Piedmont Community College,15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician",3,0,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
197850,South Piedmont Community College,15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician",3,0,17-3024.01,Robotics Technicians
197850,South Piedmont Community College,15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician",21,9,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
197850,South Piedmont Community College,15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician",21,9,17-3024.01,Robotics Technicians
197850,South Piedmont Community College,15.0499,"Electromechanical Technologies/Technicians, Other",3,2,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
197850,South Piedmont Community College,15.0499,"Electromechanical Technologies/Technicians, Other",3,2,17-3024.01,Robotics Technicians
197850,South Piedmont Community College,15.0499,"Electromechanical Technologies/Technicians, Other",21,2,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
197850,South Piedmont Community College,15.0499,"Electromechanical Technologies/Technicians, Other",21,2,17-3024.01,Robotics Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,3,2,17-3013.00,Mechanical Drafters
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,3,2,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,3,2,17-3024.01,Robotics Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,3,2,17-3027.00,Mechanical Engineering Technologists and Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,3,2,17-3027.01,Automotive Engineering Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,21,8,17-3013.00,Mechanical Drafters
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,21,8,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,21,8,17-3024.01,Robotics Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,21,8,17-3027.00,Mechanical Engineering Technologists and Technicians
197850,South Piedmont Community College,15.0805,Mechanical/Mechanical Engineering Technology/Technician,21,8,17-3027.01,Automotive Engineering Technicians
197850,South Piedmont Community College,19.0706,Child Development,21,46,19-3039.00,"Psychologists, All Other"
197850,South Piedmont Community College,19.0706,Child Development,21,46,19-3039.02,Neuropsychologists
197850,South Piedmont Community College,19.0706,Child Development,21,46,19-3039.03,Clinical Neuropsychologists
197850,South Piedmont Community College,19.0706,Child Development,21,46,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
197850,South Piedmont Community College,19.0706,Child Development,21,46,25-2011.00,"Preschool Teachers, Except Special Education"
197850,South Piedmont Community College,19.0706,Child Development,21,46,25-9021.00,Farm and Home Management Educators
197850,South Piedmont Community College,19.0706,Child Development,21,46,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
197850,South Piedmont Community College,19.0706,Child Development,21,46,25-9043.00,"Teaching Assistants, Special Education"
197850,South Piedmont Community College,19.0706,Child Development,21,46,39-9011.00,Childcare Workers
197850,South Piedmont Community College,19.0706,Child Development,21,46,39-9011.01,Nannies
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,2,4,23-2011.00,Paralegals and Legal Assistants
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,2,4,23-2093.00,"Title Examiners, Abstractors, and Searchers"
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,2,4,23-2099.00,"Legal Support Workers, All Other"
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,3,5,23-2011.00,Paralegals and Legal Assistants
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,3,5,23-2093.00,"Title Examiners, Abstractors, and Searchers"
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,3,5,23-2099.00,"Legal Support Workers, All Other"
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,21,7,23-2011.00,Paralegals and Legal Assistants
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,21,7,23-2093.00,"Title Examiners, Abstractors, and Searchers"
197850,South Piedmont Community College,22.0302,Legal Assistant/Paralegal,21,7,23-2099.00,"Legal Support Workers, All Other"
197850,South Piedmont Community College,24.0101,Liberal Arts and Sciences/Liberal Studies,3,172,25-1199.00,"Postsecondary Teachers, All Other"
197850,South Piedmont Community College,24.0199,,3,5,,
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,2,13,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,2,13,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,2,13,33-1011.00,First-Line Supervisors of Correctional Officers
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,2,13,33-1012.00,First-Line Supervisors of Police and Detectives
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,3,4,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,3,4,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,3,4,33-1011.00,First-Line Supervisors of Correctional Officers
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,3,4,33-1012.00,First-Line Supervisors of Police and Detectives
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,21,33,19-4099.00,"Life, Physical, and Social Science Technicians, All Other"
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,21,33,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,21,33,33-1011.00,First-Line Supervisors of Correctional Officers
197850,South Piedmont Community College,43.0104,Criminal Justice/Safety Studies,21,33,33-1012.00,First-Line Supervisors of Police and Detectives
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,33-3011.00,Bailiffs
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,33-3021.00,Detectives and Criminal Investigators
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,33-3021.02,Police Identification and Records Officers
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,33-3021.06,Intelligence Analysts
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,33-3051.00,Police and Sheriff's Patrol Officers
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,33-3051.04,Customs and Border Protection Officers
197850,South Piedmont Community College,43.0107,Criminal Justice/Police Science,21,42,33-9021.00,Private Detectives and Investigators
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1212.00,Information Security Analysts
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.00,"Computer Occupations, All Other"
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.01,Web Administrators
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.02,Geographic Information Systems Technologists and Technicians
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.03,Document Management Specialists
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.04,Penetration Testers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.05,Information Security Engineers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.06,Digital Forensics Analysts
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.07,Blockchain Engineers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.08,Computer Systems Engineers/Architects
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,15-1299.09,Information Technology Project Managers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,33-3021.00,Detectives and Criminal Investigators
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,33-3021.02,Police Identification and Records Officers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,33-3021.06,Intelligence Analysts
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,3,1,33-9021.00,Private Detectives and Investigators
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1212.00,Information Security Analysts
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.00,"Computer Occupations, All Other"
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.01,Web Administrators
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.02,Geographic Information Systems Technologists and Technicians
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.03,Document Management Specialists
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.04,Penetration Testers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.05,Information Security Engineers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.06,Digital Forensics Analysts
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.07,Blockchain Engineers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.08,Computer Systems Engineers/Architects
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,15-1299.09,Information Technology Project Managers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,33-3021.00,Detectives and Criminal Investigators
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,33-3021.02,Police Identification and Records Officers
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,33-3021.06,Intelligence Analysts
197850,South Piedmont Community College,43.0403,Cyber/Computer Forensics and Counterterrorism,21,10,33-9021.00,Private Detectives and Investigators
197850,South Piedmont Community College,46.0302,Electrician,2,0,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
197850,South Piedmont Community College,46.0302,Electrician,2,0,47-1011.03,Solar Energy Installation Managers
197850,South Piedmont Community College,46.0302,Electrician,2,0,47-2111.00,Electricians
197850,South Piedmont Community College,46.0302,Electrician,2,0,49-2098.00,Security and Fire Alarm Systems Installers
197850,South Piedmont Community College,46.0302,Electrician,2,0,49-9097.00,Signal and Track Switch Repairers
197850,South Piedmont Community College,46.0302,Electrician,3,0,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
197850,South Piedmont Community College,46.0302,Electrician,3,0,47-1011.03,Solar Energy Installation Managers
197850,South Piedmont Community College,46.0302,Electrician,3,0,47-2111.00,Electricians
197850,South Piedmont Community College,46.0302,Electrician,3,0,49-2098.00,Security and Fire Alarm Systems Installers
197850,South Piedmont Community College,46.0302,Electrician,3,0,49-9097.00,Signal and Track Switch Repairers
197850,South Piedmont Community College,46.0302,Electrician,21,1,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
197850,South Piedmont Community College,46.0302,Electrician,21,1,47-1011.03,Solar Energy Installation Managers
197850,South Piedmont Community College,46.0302,Electrician,21,1,47-2111.00,Electricians
197850,South Piedmont Community College,46.0302,Electrician,21,1,49-2098.00,Security and Fire Alarm Systems Installers
197850,South Piedmont Community College,46.0302,Electrician,21,1,49-9097.00,Signal and Track Switch Repairers
197850,South Piedmont Community College,47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",2,2,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
197850,South Piedmont Community College,47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",3,2,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
197850,South Piedmont Community College,47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",21,25,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
197850,South Piedmont Community College,47.0604,Automobile/Automotive Mechanics Technology/Technician,3,2,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
197850,South Piedmont Community College,47.0604,Automobile/Automotive Mechanics Technology/Technician,3,2,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
197850,South Piedmont Community College,47.0604,Automobile/Automotive Mechanics Technology/Technician,3,2,49-3023.00,Automotive Service Technicians and Mechanics
197850,South Piedmont Community College,47.0604,Automobile/Automotive Mechanics Technology/Technician,21,0,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
197850,South Piedmont Community College,47.0604,Automobile/Automotive Mechanics Technology/Technician,21,0,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
197850,South Piedmont Community College,47.0604,Automobile/Automotive Mechanics Technology/Technician,21,0,49-3023.00,Automotive Service Technicians and Mechanics
197850,South Piedmont Community College,48.0508,Welding Technology/Welder,2,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
197850,South Piedmont Community College,48.0508,Welding Technology/Welder,2,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
197850,South Piedmont Community College,48.0508,Welding Technology/Welder,21,13,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
197850,South Piedmont Community College,48.0508,Welding Technology/Welder,21,13,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,2,0,27-1019.00,"Artists and Related Workers, All Other"
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,2,0,27-1021.00,Commercial and Industrial Designers
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,2,0,27-1024.00,Graphic Designers
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,3,3,27-1019.00,"Artists and Related Workers, All Other"
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,3,3,27-1021.00,Commercial and Industrial Designers
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,3,3,27-1024.00,Graphic Designers
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,21,15,27-1019.00,"Artists and Related Workers, All Other"
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,21,15,27-1021.00,Commercial and Industrial Designers
197850,South Piedmont Community College,50.0402,Commercial and Advertising Art,21,15,27-1024.00,Graphic Designers
197850,South Piedmont Community College,50.0411,Game and Interactive Media Design,3,0,25-1199.00,"Postsecondary Teachers, All Other"
197850,South Piedmont Community College,50.0411,Game and Interactive Media Design,3,0,27-1014.00,Special Effects Artists and Animators
197850,South Piedmont Community College,51.0705,Medical Office Management/Administration,2,5,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
197850,South Piedmont Community College,51.0705,Medical Office Management/Administration,3,7,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
197850,South Piedmont Community College,51.0705,Medical Office Management/Administration,21,25,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
197850,South Piedmont Community College,51.0801,Medical/Clinical Assistant,2,21,25-1071.00,"Health Specialties Teachers, Postsecondary"
197850,South Piedmont Community College,51.0801,Medical/Clinical Assistant,2,21,31-9092.00,Medical Assistants
197850,South Piedmont Community College,51.0801,Medical/Clinical Assistant,3,10,25-1071.00,"Health Specialties Teachers, Postsecondary"
197850,South Piedmont Community College,51.0801,Medical/Clinical Assistant,3,10,31-9092.00,Medical Assistants
197850,South Piedmont Community College,51.0801,Medical/Clinical Assistant,21,15,25-1071.00,"Health Specialties Teachers, Postsecondary"
197850,South Piedmont Community College,51.0801,Medical/Clinical Assistant,21,15,31-9092.00,Medical Assistants
197850,South Piedmont Community College,51.0904,Emergency Medical Technology/Technician (EMT Paramedic),3,1,25-1071.00,"Health Specialties Teachers, Postsecondary"
197850,South Piedmont Community College,51.0904,Emergency Medical Technology/Technician (EMT Paramedic),3,1,29-2042.00,Emergency Medical Technicians
197850,South Piedmont Community College,51.0904,Emergency Medical Technology/Technician (EMT Paramedic),3,1,29-2043.00,Paramedics
197850,South Piedmont Community College,51.0904,Emergency Medical Technology/Technician (EMT Paramedic),21,0,25-1071.00,"Health Specialties Teachers, Postsecondary"
197850,South Piedmont Community College,51.0904,Emergency Medical Technology/Technician (EMT Paramedic),21,0,29-2042.00,Emergency Medical Technicians
197850,South Piedmont Community College,51.0904,Emergency Medical Technology/Technician (EMT Paramedic),21,0,29-2043.00,Paramedics
197850,South Piedmont Community College,51.091,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,3,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
197850,South Piedmont Community College,51.091,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,3,5,29-2032.00,Diagnostic Medical Sonographers
197850,South Piedmont Community College,51.091,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,21,2,25-1071.00,"Health Specialties Teachers, Postsecondary"
197850,South Piedmont Community College,51.091,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,21,2,29-2032.00,Diagnostic Medical Sonographers
197850,South Piedmont Community College,51.1105,,3,0,,
197850,South Piedmont Community College,51.1599,,2,6,,
197850,South Piedmont Community College,51.1599,,3,2,,
197850,South Piedmont Community College,51.1599,,21,6,,
197850,South Piedmont Community College,51.3801,Registered Nursing/Registered Nurse,3,28,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
197850,South Piedmont Community College,51.3801,Registered Nursing/Registered Nurse,3,28,29-1141.00,Registered Nurses
197850,South Piedmont Community College,51.3801,Registered Nursing/Registered Nurse,3,28,29-1141.01,Acute Care Nurses
197850,South Piedmont Community College,51.3801,Registered Nursing/Registered Nurse,3,28,29-1141.02,Advanced Practice Psychiatric Nurses
197850,South Piedmont Community College,51.3801,Registered Nursing/Registered Nurse,3,28,29-1141.03,Critical Care Nurses
197850,South Piedmont Community College,51.3801,Registered Nursing/Registered Nurse,3,28,29-1141.04,Clinical Nurse Specialists
197850,South Piedmont Community College,51.3901,Licensed Practical/Vocational Nurse Training,2,9,29-2061.00,Licensed Practical and Licensed Vocational Nurses
197850,South Piedmont Community College,51.3901,Licensed Practical/Vocational Nurse Training,21,9,29-2061.00,Licensed Practical and Licensed Vocational Nurses
197850,South Piedmont Community College,51.3902,Nursing Assistant/Aide and Patient Care Assistant/Aide,21,3,31-1131.00,Nursing Assistants
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-1011.00,Chief Executives
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-1011.03,Chief Sustainability Officers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-1021.00,General and Operations Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-2022.00,Sales Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-3012.00,Administrative Services Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-3013.00,Facilities Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-3013.01,Security Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-3051.00,Industrial Production Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-3051.01,Quality Control Systems Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-3051.02,Geothermal Production Managers
197850,South Piedmont Community College,52.0201,"Business Administration and Management, General",2,24,11-3051.03,Biofuels Production Managers
